utid,thread_name,process_name,ts,dur,state,blocked_function
1,BckgrndExec HP,/system/bin/surfaceflinger,261336973486037,1379313,S,
3,logd.writer,/system/bin/logd,261336973593825,58106,Running,
3,logd.writer,/system/bin/logd,261336973651931,526123,S,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336974035394,42725,R,
2,WifiHandlerThre,system_server,261336974078119,85994385,S,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336974078119,1324097,Running,
3,logd.writer,/system/bin/logd,261336974178054,392944,R,
6,decon0_kthread,decon0_kthread,261336974299351,39388,R,
6,decon0_kthread,decon0_kthread,261336974338739,415161,Running,
7,surfaceflinger,/system/bin/surfaceflinger,261336974450271,213134,R,
8,VrrCtrl_Primary,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336974470656,-1,R,
10,surfaceflinger,/system/bin/surfaceflinger,261336974552321,34017,R,
8,VrrCtrl_Primary,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336974570998,16210164,S,
3,logd.writer,/system/bin/logd,261336974570998,92407,Running,
4,binder:479_5,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336974586338,15552897,S,
10,surfaceflinger,/system/bin/surfaceflinger,261336974586338,352173,Running,
11,cw-deep-buffer-,/vendor/bin/hw/android.hardware.audio.service-aidl.aoc,261336974592401,161499,R,
9,kworker/u17:0,kworker/u17:0,261336974654169,39792562,I,
3,logd.writer,/system/bin/logd,261336974663405,16094930,S,
7,surfaceflinger,/system/bin/surfaceflinger,261336974663405,36988,Running,
7,surfaceflinger,/system/bin/surfaceflinger,261336974700393,48722005,S,
12,android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261336974736647,201864,R,
6,decon0_kthread,decon0_kthread,261336974753900,11606527,D,
11,cw-deep-buffer-,/vendor/bin/hw/android.hardware.audio.service-aidl.aoc,261336974753900,275920,Running,
1,BckgrndExec HP,/system/bin/surfaceflinger,261336974865350,27385,R,
1,BckgrndExec HP,/system/bin/surfaceflinger,261336974892735,225748,Running,
10,surfaceflinger,/system/bin/surfaceflinger,261336974938511,14708496,S,
12,android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261336974938511,201620,Running,
13,AudioOut_15,/system/bin/audioserver,261336974951939,77881,R,
14,binder:23019_7,com.google.android.youtube,261336975022495,47893,R,
11,cw-deep-buffer-,/vendor/bin/hw/android.hardware.audio.service-aidl.aoc,261336975029820,469970,S,
13,AudioOut_15,/system/bin/audioserver,261336975029820,546468,Running,
14,binder:23019_7,com.google.android.youtube,261336975070388,356771,Running,
1,BckgrndExec HP,/system/bin/surfaceflinger,261336975118483,14791871,S,
12,android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261336975140131,15853922,S,
15,traced,/system/bin/traced,261336975218052,85493897,S,
16,traced_probes,/system/bin/traced_probes,261336975218052,18384725,Running,
5138,binder:23019_4,com.google.android.youtube,261336975286371,-1,R,
5225,CodecLooper,com.google.android.youtube,261336975341180,38290,R,
61,migration/5,migration/5,261336975370599,31617,R,
5225,CodecLooper,com.google.android.youtube,261336975379470,56478,Running,
5138,binder:23019_4,com.google.android.youtube,261336975379999,16015584,S,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336975402216,30395,R+,
61,migration/5,migration/5,261336975402216,40893,Running,
14,binder:23019_7,com.google.android.youtube,261336975427159,2280395,S,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336975432611,468099,Running,
5225,CodecLooper,com.google.android.youtube,261336975435948,16069865,S,
61,migration/5,migration/5,261336975443109,874325318,S,
11,cw-deep-buffer-,/vendor/bin/hw/android.hardware.audio.service-aidl.aoc,261336975499790,76498,R,
13,AudioOut_15,/system/bin/audioserver,261336975576288,39114624,S,
11,cw-deep-buffer-,/vendor/bin/hw/android.hardware.audio.service-aidl.aoc,261336975576288,124878,Running,
11,cw-deep-buffer-,/vendor/bin/hw/android.hardware.audio.service-aidl.aoc,261336975701166,38809245,S,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336975900710,4739950,D,
766,bigo_worker_thr,bigo_worker_thread,261336976578526,53182,R,
766,bigo_worker_thr,bigo_worker_thread,261336976631708,293131,Running,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336976846104,78735,R,
766,bigo_worker_thr,bigo_worker_thread,261336976924839,12808797,D,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336976924839,842041,Running,
507,dhd_logtrace_th,dhd_logtrace_thread,261336977130935,33732,R,
507,dhd_logtrace_th,dhd_logtrace_thread,261336977164667,266154,Running,
507,dhd_logtrace_th,dhd_logtrace_thread,261336977430821,199015,D,
507,dhd_logtrace_th,dhd_logtrace_thread,261336977629836,137044,R,
14,binder:23019_7,com.google.android.youtube,261336977707554,37598,R,
14,binder:23019_7,com.google.android.youtube,261336977745152,262614,Running,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336977766880,162354,S,
507,dhd_logtrace_th,dhd_logtrace_thread,261336977766880,130168,Running,
507,dhd_logtrace_th,dhd_logtrace_thread,261336977897048,990438,D,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336977929234,78532,R,
14,binder:23019_7,com.google.android.youtube,261336978007766,13192911,S,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336978007766,252929,Running,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336978260695,11188070,S,
507,dhd_logtrace_th,dhd_logtrace_thread,261336978887486,69498,R,
507,dhd_logtrace_th,dhd_logtrace_thread,261336978956984,412435,Running,
507,dhd_logtrace_th,dhd_logtrace_thread,261336979369419,886451620,S,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336980640660,45206,R,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336980685866,368815,Running,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336981054681,4885539,D,
113,perf_mon_update,perf_mon_update_client_task,261336981539300,46591,R,
316,sugov:0,sugov:0,261336981577590,39998,R,
113,perf_mon_update,perf_mon_update_client_task,261336981585891,230957,Running,
316,sugov:0,sugov:0,261336981617588,51921,Running,
316,sugov:0,sugov:0,261336981669509,11893310,S,
113,perf_mon_update,perf_mon_update_client_task,261336981816848,11721924,S,
5124,ExoPlayer:Playb,com.google.android.youtube,261336981911289,34017,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261336981945306,433757,Running,
5238,MediaCodec_loop,com.google.android.youtube,261336982258335,40365,R,
317,sugov:4,sugov:4,261336982289219,38005,R,
5238,MediaCodec_loop,com.google.android.youtube,261336982298700,29785,Running,
317,sugov:4,sugov:4,261336982327224,73364,Running,
5238,MediaCodec_loop,com.google.android.youtube,261336982328485,47445,S,
5238,MediaCodec_loop,com.google.android.youtube,261336982375930,821289,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261336982379063,758992,S,
317,sugov:4,sugov:4,261336982400588,12404337,S,
831,binder:477_4,/system/bin/surfaceflinger,261336982990839,35237,R,
831,binder:477_4,/system/bin/surfaceflinger,261336983026076,282105,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261336983138055,32064,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261336983170119,67302,Running,
5238,MediaCodec_loop,com.google.android.youtube,261336983197219,20101,S,
5238,MediaCodec_loop,com.google.android.youtube,261336983217320,21159,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261336983237421,38126,S,
5238,MediaCodec_loop,com.google.android.youtube,261336983238479,60668,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261336983275547,20467,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261336983296014,119751,Running,
5238,MediaCodec_loop,com.google.android.youtube,261336983299147,95175,S,
831,binder:477_4,/system/bin/surfaceflinger,261336983308181,19820312,S,
5238,MediaCodec_loop,com.google.android.youtube,261336983394322,21321,R,
5238,MediaCodec_loop,com.google.android.youtube,261336983415643,35441,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261336983415765,11068,S,
5124,ExoPlayer:Playb,com.google.android.youtube,261336983426833,21810,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261336983448643,207194,Running,
5238,MediaCodec_loop,com.google.android.youtube,261336983451084,8456747,S,
5240,ExoPlayer:Simpl,com.google.android.youtube,261336983533726,53996,R,
5240,ExoPlayer:Simpl,com.google.android.youtube,261336983587722,1024658,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261336983655837,8043335,S,
5240,ExoPlayer:Simpl,com.google.android.youtube,261336984612380,30816121,S,
168,simpleinteracti,simpleinteractive,261336985563633,39836,R,
168,simpleinteracti,simpleinteractive,261336985603469,76253,Running,
168,simpleinteracti,simpleinteractive,261336985679722,43878581,S,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336985940220,26286,R,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336985966506,375203,Running,
67,ksoftirqd/6,ksoftirqd/6,261336986329624,10946,R,
67,ksoftirqd/6,ksoftirqd/6,261336986340570,408651,Running,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336986341709,5195109,D,
6,decon0_kthread,decon0_kthread,261336986360427,33813,R,
6,decon0_kthread,decon0_kthread,261336986394240,55176,Running,
6,decon0_kthread,decon0_kthread,261336986449416,2964437,D,
67,ksoftirqd/6,ksoftirqd/6,261336986749221,3961059,S,
693,kworker/u16:9,kworker/u16:9,261336986813999,31779,R,
693,kworker/u16:9,kworker/u16:9,261336986845778,48828,Running,
693,kworker/u16:9,kworker/u16:9,261336986894606,19961060,I,
877,NodeLooperThrea,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261336988590245,58675,R,
877,NodeLooperThrea,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261336988648920,801432,Running,
6,decon0_kthread,decon0_kthread,261336989413853,41178,R,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336989448765,26327,R,
877,NodeLooperThrea,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261336989450352,71897746,S,
6,decon0_kthread,decon0_kthread,261336989455031,119019,Running,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336989475092,292399,Running,
821,TimerDispatch,/system/bin/surfaceflinger,261336989549188,29338,R,
6,decon0_kthread,decon0_kthread,261336989574050,1012532,S,
821,TimerDispatch,/system/bin/surfaceflinger,261336989578526,111206,Running,
10,surfaceflinger,/system/bin/surfaceflinger,261336989647007,28443,R,
10,surfaceflinger,/system/bin/surfaceflinger,261336989675450,493611,Running,
821,TimerDispatch,/system/bin/surfaceflinger,261336989689732,16521240,S,
766,bigo_worker_thr,bigo_worker_thread,261336989733636,35319,R,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336989767491,3983520,D,
766,bigo_worker_thr,bigo_worker_thread,261336989768955,180827,Running,
1,BckgrndExec HP,/system/bin/surfaceflinger,261336989910354,31901,R,
1,BckgrndExec HP,/system/bin/surfaceflinger,261336989942255,34912,Running,
766,bigo_worker_thr,bigo_worker_thread,261336989949782,3495443,D,
1,BckgrndExec HP,/system/bin/surfaceflinger,261336989977167,1102457,S,
4,binder:479_5,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336990139235,29826,R,
10,surfaceflinger,/system/bin/surfaceflinger,261336990169061,683675,S,
4,binder:479_5,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336990169061,716919,Running,
6,decon0_kthread,decon0_kthread,261336990586582,28036,R,
6,decon0_kthread,decon0_kthread,261336990614618,245890,Running,
67,ksoftirqd/6,ksoftirqd/6,261336990710280,456625,R,
3,logd.writer,/system/bin/logd,261336990758335,26896,R,
8,VrrCtrl_Primary,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336990781162,19613,R,
3,logd.writer,/system/bin/logd,261336990785231,76783,Running,
8,VrrCtrl_Primary,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336990800775,43742,Running,
8,VrrCtrl_Primary,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336990844517,18115478,S,
10,surfaceflinger,/system/bin/surfaceflinger,261336990852736,33244,R,
6,decon0_kthread,decon0_kthread,261336990860508,12168945,D,
3,logd.writer,/system/bin/logd,261336990862014,18057739,S,
4,binder:479_5,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336990885980,4057617,S,
10,surfaceflinger,/system/bin/surfaceflinger,261336990885980,280925,Running,
12,android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261336990994053,41056,R,
12,android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261336991035109,169556,Running,
1,BckgrndExec HP,/system/bin/surfaceflinger,261336991079624,20101,R,
1,BckgrndExec HP,/system/bin/surfaceflinger,261336991099725,157674,Running,
10,surfaceflinger,/system/bin/surfaceflinger,261336991166905,11001180,S,
67,ksoftirqd/6,ksoftirqd/6,261336991166905,1205810,Running,
14,binder:23019_7,com.google.android.youtube,261336991200677,29460,R,
12,android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261336991204665,18096191,S,
14,binder:23019_7,com.google.android.youtube,261336991230137,281169,Running,
1,BckgrndExec HP,/system/bin/surfaceflinger,261336991257399,15812623,S,
5138,binder:23019_4,com.google.android.youtube,261336991395583,58919,R,
5138,binder:23019_4,com.google.android.youtube,261336991454502,91350,Running,
5225,CodecLooper,com.google.android.youtube,261336991505813,32674,R,
14,binder:23019_7,com.google.android.youtube,261336991511306,2817911,S,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336991536818,28728,R,
5225,CodecLooper,com.google.android.youtube,261336991538487,52938,Running,
5138,binder:23019_4,com.google.android.youtube,261336991545852,18249389,S,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336991565546,393473,Running,
5225,CodecLooper,com.google.android.youtube,261336991591425,18265177,S,
5124,ExoPlayer:Playb,com.google.android.youtube,261336991699172,28727,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261336991727899,205933,Running,
5238,MediaCodec_loop,com.google.android.youtube,261336991907831,24617,R,
5238,MediaCodec_loop,com.google.android.youtube,261336991932448,54606,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261336991933832,24048,S,
5124,ExoPlayer:Playb,com.google.android.youtube,261336991957880,21972,R,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336991959019,4442749,D,
5124,ExoPlayer:Playb,com.google.android.youtube,261336991979852,121094,Running,
5238,MediaCodec_loop,com.google.android.youtube,261336991987054,2967774,S,
5124,ExoPlayer:Playb,com.google.android.youtube,261336992100946,10049927,S,
67,ksoftirqd/6,ksoftirqd/6,261336992372715,9351929,S,
766,bigo_worker_thr,bigo_worker_thread,261336993445225,40568,R,
766,bigo_worker_thr,bigo_worker_thread,261336993485793,103231,Running,
113,perf_mon_update,perf_mon_update_client_task,261336993538772,31778,R,
32,migration/0,migration/0,261336993553664,49113,R,
316,sugov:0,sugov:0,261336993562819,26205,R,
113,perf_mon_update,perf_mon_update_client_task,261336993570550,49602,Running,
766,bigo_worker_thr,bigo_worker_thread,261336993589024,34831,R+,
316,sugov:0,sugov:0,261336993589024,34831,Running,
16,traced_probes,/system/bin/traced_probes,261336993602777,56356,R,
32,migration/0,migration/0,261336993602777,41707,Running,
113,perf_mon_update,perf_mon_update_client_task,261336993620152,11932332,S,
316,sugov:0,sugov:0,261336993623855,145467,S,
766,bigo_worker_thr,bigo_worker_thread,261336993623855,164957,Running,
32,migration/0,migration/0,261336993644484,235068482,S,
16,traced_probes,/system/bin/traced_probes,261336993659133,67089518,Running,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336993751011,25513,R,
316,sugov:0,sugov:0,261336993769322,18880,R,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336993776524,87931,Running,
316,sugov:0,sugov:0,261336993788202,35970,Running,
766,bigo_worker_thr,bigo_worker_thread,261336993788812,12708863,D,
316,sugov:0,sugov:0,261336993824172,6688721,S,
1053,Codec2.0 Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336993836704,23072,R,
1053,Codec2.0 Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336993859776,154337,Running,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336993864455,212809,S,
1052,GC2PerfHintThre,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336993982416,31697,R,
1053,Codec2.0 Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994014113,16358,R+,
1052,GC2PerfHintThre,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994014113,16358,Running,
1052,GC2PerfHintThre,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994030471,2970,S,
1053,Codec2.0 Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994030471,57780,Running,
1052,GC2PerfHintThre,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994033441,54810,R,
1054,Output Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994060703,18230,R,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994077264,16073,R,
1054,Output Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994078933,668538,Running,
1053,Codec2.0 Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994088251,27994,S,
1052,GC2PerfHintThre,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994088251,31331,Running,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994093337,72021,Running,
1053,Codec2.0 Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994116245,49236,R,
1052,GC2PerfHintThre,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994119582,182210,S,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994165358,289592,S,
1053,Codec2.0 Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994165481,182739,Running,
1052,GC2PerfHintThre,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994301792,26856,R,
1052,GC2PerfHintThre,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994328648,7039,Running,
14,binder:23019_7,com.google.android.youtube,261336994329217,33488,R,
1052,GC2PerfHintThre,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994335687,16175293,S,
1053,Codec2.0 Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994348220,48584,S,
14,binder:23019_7,com.google.android.youtube,261336994362705,836467,Running,
1053,Codec2.0 Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994396804,27099,R,
1053,Codec2.0 Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994423903,90536,Running,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994454950,59489,R,
1053,Codec2.0 Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994514439,15834554,S,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994514439,386108,Running,
1034,DisplayInfo,/vendor/bin/hw/android.hardware.sensors-service.multihal,261336994709019,29337,R,
1034,DisplayInfo,/vendor/bin/hw/android.hardware.sensors-service.multihal,261336994738356,240805,Running,
1054,Output Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994747471,15815674,S,
5239,CodecLooper,com.google.android.youtube,261336994775547,30436,R,
317,sugov:4,sugov:4,261336994804925,38860,R,
5239,CodecLooper,com.google.android.youtube,261336994805983,22624,Running,
5239,CodecLooper,com.google.android.youtube,261336994828607,8789,S,
5239,CodecLooper,com.google.android.youtube,261336994837396,20264,R,
317,sugov:4,sugov:4,261336994843785,237670,Running,
5239,CodecLooper,com.google.android.youtube,261336994857660,712809,Running,
5159,binder:23019_5,com.google.android.youtube,261336994860305,40242,R,
5165,binder:23019_8,com.google.android.youtube,261336994890212,-1,R,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336994900547,262573,S,
5159,binder:23019_5,com.google.android.youtube,261336994900547,291057,Running,
5215,binder:23019_9,com.google.android.youtube,261336994934564,289917,R,
4,binder:479_5,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336994943597,35564,R,
5238,MediaCodec_loop,com.google.android.youtube,261336994954828,298991,R,
1034,DisplayInfo,/vendor/bin/hw/android.hardware.sensors-service.multihal,261336994979161,422729,S,
4,binder:479_5,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336994979161,277303,Running,
5165,binder:23019_8,com.google.android.youtube,261336995063348,118451620,S,
317,sugov:4,sugov:4,261336995081455,11152995,S,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336995163120,28484,R,
866,drm-event-liste,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336995187046,32796,R,
5159,binder:23019_5,com.google.android.youtube,261336995191604,159708,R+,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336995191604,159708,Running,
14,binder:23019_7,com.google.android.youtube,261336995199172,65935018,S,
866,drm-event-liste,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336995219842,112834,Running,
5215,binder:23019_9,com.google.android.youtube,261336995224481,29338,Running,
5215,binder:23019_9,com.google.android.youtube,261336995253819,17030761,S,
5238,MediaCodec_loop,com.google.android.youtube,261336995253819,73649,Running,
4,binder:479_5,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336995256464,26123,S,
4,binder:479_5,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336995282587,41463,R,
4,binder:479_5,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336995324050,141113,Running,
5238,MediaCodec_loop,com.google.android.youtube,261336995327468,196085,S,
866,drm-event-liste,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336995332676,50639771,S,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261336995351312,10773519,S,
5159,binder:23019_5,com.google.android.youtube,261336995351312,72917,Running,
1034,DisplayInfo,/vendor/bin/hw/android.hardware.sensors-service.multihal,261336995401890,32552,R,
5159,binder:23019_5,com.google.android.youtube,261336995424229,14175334,S,
1034,DisplayInfo,/vendor/bin/hw/android.hardware.sensors-service.multihal,261336995434442,138469,Running,
4,binder:479_5,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261336995465163,12221802,S,
5238,MediaCodec_loop,com.google.android.youtube,261336995523553,41911,R,
5238,MediaCodec_loop,com.google.android.youtube,261336995565464,57862,Running,
5239,CodecLooper,com.google.android.youtube,261336995570469,15470540,S,
1034,DisplayInfo,/vendor/bin/hw/android.hardware.sensors-service.multihal,261336995572911,49982991,S,
5238,MediaCodec_loop,com.google.android.youtube,261336995623326,6809041,S,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336996401768,28361,R,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336996430129,377116,Running,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261336996807245,3693319,D,
712,android.youtube,com.google.android.youtube,261336999246372,35726,R,
712,android.youtube,com.google.android.youtube,261336999282098,202759,Running,
712,android.youtube,com.google.android.youtube,261336999484857,14834310,S,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261337000500564,24576,R,
316,sugov:0,sugov:0,261337000512893,25024,R,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261337000525140,370524,Running,
316,sugov:0,sugov:0,261337000537917,39917,Running,
316,sugov:0,sugov:0,261337000577834,5809286,S,
5,binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,261337000895664,4751303,D,
825,RegSampIdle,/system/bin/surfaceflinger,261337001269322,468628,R,
67,ksoftirqd/6,ksoftirqd/6,261337001724644,479940,R,
825,RegSampIdle,/system/bin/surfaceflinger,261337001737950,466634,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261337002150873,45044,R,
10,surfaceflinger,/system/bin/surfaceflinger,261337002168085,28849,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261337002195917,279175,Running,
10,surfaceflinger,/system/bin/surfaceflinger,261337002196934,122477,Running,
825,RegSampIdle,/system/bin/surfaceflinger,261337002204584,37842,S,
67,ksoftirqd/6,ksoftirqd/6,261337002204584,14323,Running,
67,ksoftirqd/6,ksoftirqd/6,261337002218907,5044515,S,
825,RegSampIdle,/system/bin/surfaceflinger,261337002242426,26814,R,
824,RegionSampling,/system/bin/surfaceflinger,261337002268671,31453,R,
825,RegSampIdle,/system/bin/surfaceflinger,261337002269240,12289,Running,
825,RegSampIdle,/system/bin/surfaceflinger,261337002281529,100267659,S,
824,RegionSampling,/system/bin/surfaceflinger,261337002300124,42481,Running,
10,surfaceflinger,/system/bin/surfaceflinger,261337002319411,4004354,S,
824,RegionSampling,/system/bin/surfaceflinger,261337002342605,109115031,S,
5238,MediaCodec_loop,com.google.android.youtube,261337002432367,38574,R,
5238,MediaCodec_loop,com.google.android.youtube,261337002470941,943441,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261337002475092,847371,S,
6,decon0_kthread,decon0_kthread,261337003029453,39633,R,
6,decon0_kthread,decon0_kthread,261337003069086,62540,Running,
831,binder:477_4,/system/bin/surfaceflinger,261337003128493,51799,R,
6,decon0_kthread,decon0_kthread,261337003131626,2952434,D,
831,binder:477_4,/system/bin/surfaceflinger,261337003180292,238281,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261337003322463,39469,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261337003361932,114502,Running,
5238,MediaCodec_loop,com.google.android.youtube,261337003414382,64697,S,
831,binder:477_4,/system/bin/surfaceflinger,261337003418573,9617065,S,
5124,ExoPlayer:Playb,com.google.android.youtube,261337003476434,60466,S,
5238,MediaCodec_loop,com.google.android.youtube,261337003479079,101196,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261337003536900,34017,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261337003570917,162109,Running,
5238,MediaCodec_loop,com.google.android.youtube,261337003580275,118816,S,
5238,MediaCodec_loop,com.google.android.youtube,261337003699091,33406,R,
5238,MediaCodec_loop,com.google.android.youtube,261337003732497,71493,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261337003733026,27913,S,
5124,ExoPlayer:Playb,com.google.android.youtube,261337003760939,33936,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261337003794875,151774,Running,
5238,MediaCodec_loop,com.google.android.youtube,261337003803990,108805,S,
